lineage	taxon	taxo_id	n
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Leptothecata	Leptothecata	25991	102
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Leptothecata/Aequoreidae	Aequoreidae	51380	15
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Leptothecata/Aequoreidae/Aequorea	Aequorea	72334	2
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae	Siphonophorae	25990	2047
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae/Calycophorae/Abylidae/Bassia/Bassia bassensis	Bassia bassensis	90386	9
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Hydroidolina/Siphonophorae/part	part<Siphonophorae	92039	1683
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Limnomedusae/Olindiidae	Olindiidae	51384	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Narcomedusae	Narcomedusae	25999	992
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Narcomedusae/Aeginidae/Aegina	Aegina	72418	3
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Narcomedusae/Aeginidae/Aegina/Aegina citrea	Aegina citrea	81855	15
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Narcomedusae/Aeginidae/Solmundella/Solmundella bitentaculata	Solmundella bitentaculata	81856	218
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Narcomedusae/Cuninidae	Cuninidae	51388	1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Narcomedusae/Solmaris	Solmaris	93080	1790
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Narcomedusae/Solmarisidae	Solmarisidae	93104	6
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae	Trachymedusae	25998	159
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Geryoniidae/Liriope	Liriope	72423	2
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Halicreatidae	Halicreatidae	51391	143
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Halicreatidae/Botrynema/Botrynema brucei	Botrynema brucei	81863	8
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Halicreatidae/Halicreas	Halicreas	72426	5
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Halicreatidae/Halicreas/Halicreas minimum	Halicreas minimum	81864	23
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Rhopalonematidae	Rhopalonematidae	51390	5
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Rhopalonematidae/Aglantha	Aglantha	72432	2
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Rhopalonematidae/Aglantha/Aglantha digitale	Aglantha digitale	81866	60
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Rhopalonematidae/Rhopalonema	Rhopalonema	72428	5
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Rhopalonematidae/Rhopalonema/Rhopalonema velatum	Rhopalonema velatum	81871	2
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/Trachylinae/Trachymedusae/Rhopalonematidae/Sminthea	Sminthea	92763	3
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Hydrozoa/actinula	actinula	85190	17
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Cnidaria/Scyphozoa	Scyphozoa	12863	265
