psampleid,pprojid,profile,sampleid,lat,lon,pproject
16432,2,boum071,7173,33.7086666666667,32.6868333333333,BOUM 2008
13228,7,tara_067_00_d,45036,-31.9791666666667,17.6916666666667,TARA 2010
16046,86,ge_2016_054,11279,68.9998333333333,-57.7106666666667,GREENEDGE 2016 A
16373,2,boum033,7111,33.5771666666667,32.6535,BOUM 2008
16021,86,ge_2016_047,11287,69.0073333333333,-55.991,GREENEDGE 2016 A
9828,3,crossing_01_st13,2476,34.5651666666667,-122.577166666667,CCELTER 2012
13230,7,tara_067_00_f,45569,-32.066,17.5435,TARA 2010
18032,105,ips_012,77329,67.5391666666667,-63.5625166666667,IPS Amundsen 2018
18033,105,ips_013,77330,67.2392666666667,-64.6396166666667,IPS Amundsen 2018
12211,4,lohafex_ps73_162,820,-47.5783333333333,-15.2306666666667,LOHAFEX 2009
12149,4,lohafex_ps73_102,839,-49.9146666666667,-25.4625,LOHAFEX 2009
13287,7,tara_070_00_g,45723,-20.0335,-3.65,TARA 2010
17058,5,ccep0810_043,2553,34.1906666666667,-121.641166666667,CCELTER 2008
17009,5,ccep0810_016,2579,33.7825,-120.731333333333,CCELTER 2008
16005,87,ge_2016_094,11719,68.0795,-60.816,GREENEDGE 2016 C
15990,87,ge_2016_088,11714,68.075,-61.86,GREENEDGE 2016 C
16985,5,ccep0810_003,2567,32.6405,-124.004833333333,CCELTER 2008
13291,7,tara_071_00_b,44987,-9.252,-9.66666666666667,TARA 2010
13289,7,tara_071_00_a,45402,-9.29916666666667,-9.56033333333333,TARA 2010
16107,87,ge_2016_156,11772,70.4633333333333,-62.504,GREENEDGE 2016 C
16091,86,ge_2016_075,11284,69.0016666666667,-61.1943333333333,GREENEDGE 2016 A
13003,6,tara_023_b,45232,42.1743333333333,17.7193333333333,TARA 2009
12546,36,tns5,3790,-48.4676666666667,72.2018333333333,KEOPS 2
16441,2,boum077,7195,34.212,18.4741666666667,BOUM 2008
13128,7,tara_042_00_c,45469,5.98583333333333,73.9075,TARA 2010
13292,7,tara_072_00_a,45290,-8.76883333333333,-17.9188333333333,TARA 2010
13298,7,tara_072_00_c,45236,-8.7025,-17.9396666666667,TARA 2010
12983,7,tara_034_b,47468,18.3983333333333,39.8616666666667,TARA 2010
13392,7,tara_082_00_a,45555,-47.1846666666667,-58.295,TARA 2010
13126,7,tara_042_00_b,45003,5.99966666666667,73.9015,TARA 2010
16484,2,boum120,7128,35.6683333333333,14.1001666666667,BOUM 2008
12969,7,tara_032_a,45637,23.36,37.2183333333333,TARA 2010
12488,36,rk2,3749,-50.2943333333333,66.8525,KEOPS 2
13048,7,tara_038_00_e,45497,19.0283333333333,64.5343333333333,TARA 2010
13247,7,tara_068_00_h,45353,-31.0136666666667,4.663,TARA 2010
13395,7,tara_082_00_b,45123,-47.213,-58.0595,TARA 2010
13337,7,tara_076_00_h,45608,-20.9581666666667,-35.2345,TARA 2010
12427,1,jerico201707by32,44942,58.0168333333333,17.9845,JERICO 2017
15981,86,ge_2016_023,11234,68.5158333333333,-61.1043333333333,GREENEDGE 2016 A
16007,86,ge_2016_039,11250,68.794,-58.5288333333333,GREENEDGE 2016 A
13058,7,tara_038_00_i,45033,19.0085,64.5806666666667,TARA 2010
13055,7,tara_038_00_h,45665,19.0208333333333,64.5563333333333,TARA 2010
16008,86,ge_2016_040,11251,68.8016666666667,-58.5173333333333,GREENEDGE 2016 A
16011,86,ge_2016_042,11253,68.8211666666667,-58.2998333333333,GREENEDGE 2016 A
13137,7,tara_044_00_d,45699,2.808,71.5296666666667,TARA 2010
13077,7,tara_039_00_b,45666,18.5701666666667,66.4861666666667,TARA 2010
16532,2,boum171,7249,39.1018333333333,5.176,BOUM 2008
